4.4,7,6.3,6.7,6.7,7.5,4.9,4.8,3.8,5.8,3.6,4.3,3.1,5.8,3.1,5.5,3.4,5.5,5.1,5.4,4.1,6.5,5.4,6.4,4.1,6,5.9,5.7,5,2.9,6.2,6.2,6.4,5.6,6.9,3.1,7,3.6,5.7,4,4.5,7.6,4.7,7,7.1,6.6,4.1,7.5,5.4,2.8,3.2,0,132,20,10,15,14,12,0
7.4,4.6,4.1,4.4,6.9,5.7,7.2,6.2,6.4,6.6,5.1,7.7,4.9,5.4,5.2,6.2,3.3,2.7,6.7,3.2,4.5,4.2,5,6.3,6.8,4.7,4.5,5.1,5.3,4.4,6.1,5.1,5,4.7,4.8,4.5,3.8,6.6,6.7,6.9,4.8,6.3,6.7,4.6,6.2,6.1,6.1,4.3,3.6,5.5,3.6,0,200,21,6,23,11,11,0
5,5.3,7.4,5.9,6.7,6.7,7.3,7,7.1,4.7,3.6,6.5,4.7,7.1,2.6,5.8,4.4,5.1,6.7,5.2,2.9,7.5,5.5,6.8,6.6,2.6,6.2,5.9,3.4,3.5,4.4,7.3,5.7,7,6.2,2.9,4.4,4.6,6.9,6.8,7.4,5.1,6.6,5.6,4.9,6.7,5,7.6,2.9,5.7,2.7,0,157,16,9,13,9,20,0
7.4,4,7.3,5.5,4.5,4.4,6,5,7,7,7,4.9,4.5,4.2,6.1,4.8,3.8,6.5,5.5,3.2,3.4,7.5,5,4.2,4.4,5.4,6.3,6.9,5.5,6.3,4.9,6,7.1,6,7.2,5.1,5.4,6.7,6.8,6.7,5.6,6.3,6.9,3.9,6.2,4.3,5,6.5,5.1,4.3,6.8,0,36,16,4,19,12,16,0
4,7.4,3.6,5.1,5.8,6.6,3.7,4.9,5.5,6.1,6.4,7.2,3,5.1,3.6,4.2,6.1,4.7,6.5,4,6,5.4,5.9,6.8,6.4,3,6.5,6.2,4.7,5.9,7.1,5,7.5,6.4,7.7,5.6,4.7,6,3.7,5.8,4.7,7.1,4.6,6.6,6.2,6.7,5.6,4.3,3.1,5.6,4.5,0,5,18,7,15,17,12,0
6.3,4.2,7.1,6.3,6.3,5.6,5.3,7.3,7.2,3.5,5.6,7.1,3.7,5.2,6.8,4.5,3,4.2,5.4,4.2,4.4,7.4,7,4,4.5,6.2,5,6.4,3.7,4.1,5.8,4.6,5.5,5.8,5,6.2,5.3,5.1,5,4.9,5.9,6.1,5.3,5.5,7.8,5.2,5.9,7.2,3.7,4.9,6.5,0,51,16,5,21,15,10,0
6.8,7.5,5.7,7.1,5.2,4.4,4.7,7.2,7.3,7.1,5.9,5,2.7,6.3,5.4,4.6,2.5,4.9,7.2,2.7,2.9,6,5.5,4.4,2.6,6.6,3.9,5.2,6,5.7,7.4,5.9,5.6,5.4,7.1,6.3,6.3,5,4.8,7.6,4.6,6.1,4.4,4.1,5.9,5.1,2.6,4.4,6.7,3.1,4.4,0,530,19,8,18,13,12,0
3.6,4.7,7.1,4.2,5.3,3.7,3.8,4.7,5.8,6.4,6.2,6.2,6.9,7.6,5,5.9,5.5,5.1,5.8,5.2,2.5,7.8,6.2,6.8,3.8,6.4,4.8,4.6,4.9,5.6,4.3,4.3,6.2,6.3,4.3,4,6.4,6,2.6,6.5,4.3,6.6,2.6,4.7,5.6,2.9,6.3,6.7,3.6,2.8,4.4,0,,23,10,17,16,8,0
3.8,6.3,7,6.7,5.2,7.2,6.8,4.3,5.1,6,6.7,6.6,6.8,7.1,4.1,5.5,4.6,6.7,4.1,3.4,4.8,7.1,4.6,4.1,2.9,3,6.2,7.5,5.5,6.1,6.6,4.9,5.8,5.6,7.8,4.9,4.1,4.3,4.3,4.3,7.7,6.8,2.9,4.2,4.7,3.3,3,5.2,4.4,3.8,6.1,0,,24,8,19,9,15,0
4.1,6,6.3,5.6,3.5,4.8,4.8,5.4,6.1,5.5,4.6,5.2,5.9,4.7,6.7,4.3,5.4,4.9,6.9,4.8,6.6,4.3,6.3,7.5,3.1,3.4,5.1,5.7,5.9,3.1,6.2,4.5,5.9,7.6,4.7,2.8,4,6.7,6.8,7.2,5.1,4.9,4.7,6.9,4.8,5.9,3,6.4,6.4,6.5,3.1,0,,22,7,20,14,10,0
7.3,4.5,5.3,6.7,5.6,5.2,5.9,5.4,5,4.8,4,4.7,6,6.2,3.8,7.1,5.6,5.6,6,5,6.2,6.3,5.5,6.3,4.9,4.5,6.7,6.3,6.9,4,6.5,6,7.3,6,5.3,3.5,6.7,3.8,4.8,4.4,5,4.9,6.9,3.4,6.8,5.6,2.9,5.2,5.5,3.5,5.7,0,,16,6,18,17,10,0
6.6,6,5.7,5.3,5.1,6.2,6.8,6.4,5.4,6,4.8,4.7,6.3,6.1,4.6,4.2,4.3,3.7,4.3,6.4,5.1,6.6,7.7,4.9,2.5,6.7,4.8,5,5.3,3.2,4.1,7.6,7.4,6.3,5.7,6.4,5.2,2.9,2.6,6.6,6.5,5.3,3.8,4.3,6.8,3.6,6.4,7.4,4.3,5.1,3.6,0,,19,8,20,12,11,0
